FavouritesCount-0,favorites-zscore,FavouritesCount,FriendsCount-0,friends-zscore,FriendsCount,StatusesCount-0,status-zsocre,StatusesCount,isVerified,isTranslator,location,Lang-0,Lang,isRetweetedByMe
42579,2.272035927,40000~60000,22483,11.50432043,>10000,918457,13.60681574,>60000,FALSE,FALSE,Birmingham- England,en,en,FALSE
42579,2.272035927,40000~60000,22482,11.50380874,>10000,918481,13.60717154,>60000,FALSE,FALSE,Birmingham- England,en,en,FALSE
42579,2.272035927,40000~60000,22481,11.50329705,>10000,918327,13.6048885,>60000,FALSE,FALSE,Birmingham- England,en,en,FALSE
42576,2.271875845,40000~60000,22481,11.50329705,>10000,918218,13.60327258,>60000,FALSE,FALSE,Birmingham- England,en,en,FALSE
72506,3.868955046,>60000,18883,9.662237368,>10000,774174,11.4678248,>60000,FALSE,FALSE,UK,en,en,FALSE
0,0,<20000,18088,9.255444024,>10000,36054,0.525218987,20000~40000,FALSE,FALSE,null,en,en,FALSE
0,0,<20000,18088,9.255444024,>10000,36055,0.525233812,20000~40000,FALSE,FALSE,null,en,en,FALSE
18614,0.993251996,<20000,17897,9.157711284,>10000,641419,9.499736097,>60000,FALSE,FALSE,Sheffield,en,en,FALSE
11705,0.624584432,<20000,16819,8.606109744,>10000,57369,0.841213193,40000~60000,FALSE,FALSE,Manahawkin- New Jersey,en,en,FALSE
44953,2.398713709,40000~60000,15881,8.126144767,>10000,1987,0.020176782,<20000,FALSE,FALSE,The Cyber,en,en,FALSE
62063,3.311711542,>60000,15341,7.849832308,>10000,63237,0.928206108,>60000,FALSE,FALSE,The Jedi Temple- Brooklyn NYC,en,en,FALSE
54709,2.919298563,40000~60000,15341,7.849832308,>10000,177711,2.625279562,>60000,FALSE,FALSE,East Tennessee,en,en,FALSE
10532,0.561992587,<20000,14224,7.278274868,>10000,22276,0.32096057,20000~40000,FALSE,FALSE,Tennessee- USA,en,en,FALSE
56242,3.001100181,40000~60000,12984,6.643779589,>10000,36018,0.524685288,20000~40000,FALSE,FALSE,under deconstuction ,en,en,FALSE
17100,0.912464228,<20000,12441,6.36593206,>10000,330420,4.889185691,>60000,FALSE,FALSE,Barnsley,en,en,FALSE
55703,2.972338881,40000~60000,12440,6.365420371,>10000,63371,0.930192654,>60000,FALSE,FALSE,New Jersey- USA,en,en,FALSE
18612,0.993145275,<20000,11625,5.948393232,>10000,38785,0.565705976,20000~40000,FALSE,FALSE,St Petersburg Beach- FL ??,en,en,FALSE
78350,4.180793698,>60000,11567,5.918715227,>10000,105900,1.560683743,>60000,FALSE,FALSE,North Carolina/Los Angeles,en,en,FALSE
78344,4.180473535,>60000,11567,5.918715227,>10000,105893,1.560579968,>60000,FALSE,FALSE,North Carolina/Los Angeles,en,en,FALSE
11813,0.630347364,<20000,10662,5.455636012,>10000,6071,0.080721954,<20000,FALSE,FALSE,Land of Cheese and Beer,en,en,FALSE
27836,1.485342353,20000~40000,10492,5.368648756,>10000,69232,1.017081795,>60000,FALSE,FALSE,Tucker- GA,en,en,FALSE
51883,2.768501843,40000~60000,10437,5.340505821,>10000,549,-0.001141523,<20000,FALSE,FALSE,Adana,tr,others,FALSE
579,0.030895719,<20000,10132,5.18444045,>10000,18949,0.271637899,<20000,FALSE,FALSE,Pennsylvania- USA,en,en,FALSE
34140,1.821726826,20000~40000,9516,4.86923957,2000~10000,21807,0.31400766,20000~40000,FALSE,FALSE,Dallas- Texas,en,en,FALSE
34552,1.843711345,20000~40000,9266,4.741317135,2000~10000,84262,1.239901073,>60000,FALSE,FALSE,Columbia- MD,en,en,FALSE
58864,3.141011362,40000~60000,9188,4.701405335,2000~10000,50012,0.732145899,40000~60000,FALSE,FALSE,Southern California- USA,en,en,FALSE
29064,1.550869024,20000~40000,8586,4.393368111,2000~10000,122825,1.811596337,>60000,FALSE,FALSE,United Kingdom,en,en,FALSE
11523,0.614872824,<20000,8572,4.386204455,2000~10000,15058,0.213953947,<20000,FALSE,FALSE,Kington Herefordshire,en,en,FALSE
41261,2.201706813,40000~60000,8422,4.309450994,2000~10000,193442,2.858491143,>60000,FALSE,FALSE,Yokohama Stadium,en,en,FALSE
44204,2.358746709,40000~60000,8261,4.227068945,2000~10000,517700,7.665605808,>60000,FALSE,FALSE,London,en,en,FALSE
82431,4.398557822,>60000,8035,4.111427064,2000~10000,24379,0.352137479,20000~40000,FALSE,FALSE,The Resistance,en,en,FALSE
48434,2.584461544,40000~60000,7927,4.056164572,2000~10000,43082,0.629408866,40000~60000,FALSE,FALSE,Canada- USA- France- Qu?bec,fr,others,FALSE
48449,2.585261951,40000~60000,7926,4.055652882,2000~10000,43099,0.629660891,40000~60000,FALSE,FALSE,Canada- USA- France- Qu?bec,fr,others,FALSE
6203,0.330995065,<20000,7926,4.055652882,2000~10000,75497,1.109960223,>60000,FALSE,FALSE,Montclair- NJ,en,en,FALSE
202,0.010778817,<20000,7897,4.04081388,2000~10000,214337,3.168258862,>60000,FALSE,FALSE,Pian-sur-Garonne- SW France,en,en,FALSE
